name,link,1D,30D,1Y
Alfalah Government Securities Fund - II (Formerly: Faysal Government Securities Fund),https://sarmaaya.pk/mutual-funds/fund/9d535928-2ed0-41d5-be5e-3ac1c188ddd0,84.79%,13.59%,17.13%
AL Habib Pension Fund,https://sarmaaya.pk/mutual-funds/fund/60bc6804-cf94-4964-ac41-4a9c9101d483,22.78%,9.18%,17.11%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/d9baef9a-727d-4800-863d-8b7d4d61ff76,4.16%,9.48%,17.02%
HBL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/f63f48e6-901c-4d93-994c-46042a6260ba,10%,15.17%,17.01%
Pak Qatar Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/42500eab-1f6d-4ca3-a8f7-bacd7de03d4c,3.98%,25.23%,16.97%
NBP Government Securities Savings Fund,https://sarmaaya.pk/mutual-funds/fund/00f0b555-be01-4880-9606-a04820d3bfcb,22.12%,10.26%,16.96%
Pak Qatar Income Plan,https://sarmaaya.pk/mutual-funds/fund/aae36913-8709-4966-8365-fedce8185874,7.26%,15.54%,16.81%
ABL Special Saving Fund (ABL Special Saving Plan I),https://sarmaaya.pk/mutual-funds/fund/3233f83b-1098-48b8-8982-50455a6096b8,0.05%,0.86%,16.80%
NAFA Pension Fund,https://sarmaaya.pk/mutual-funds/fund/2c9d1028-93c8-440f-b39e-218cd06e95d2,56.57%,14.05%,16.79%
NIT - Government Bond Fund,https://sarmaaya.pk/mutual-funds/fund/8d9c9067-03bc-4b75-9836-3051d8e7b558,7.63%,10.47%,16.76%
ABL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/74cb36fb-0746-4449-a95b-973892f0b821,23.10%,9.86%,16.74%
Atlas Income Fund,https://sarmaaya.pk/mutual-funds/fund/02c25fd6-1b4a-43e1-be7b-f9b08ab0ac72,18.36%,10.05%,16.65%
AWT Income Fund,https://sarmaaya.pk/mutual-funds/fund/6e40a700-b7eb-47e5-989b-9b8e8da11cf1,9.96%,9.78%,16.63%
Al Ameen Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/e21f650e-d7e3-4a16-969a-3c401e105b29,-5.47%,11.55%,16.57%
Pak Qatar Asset Allocation Plan II (PQAAP IIA),https://sarmaaya.pk/mutual-funds/fund/45983258-8abf-42bc-bb2d-20589fca879b,0.03%,1.51%,16.56%
JS Islamic Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/543c2e2a-cf52-40c6-b2eb-0339680ff978,8.80%,8.95%,16.56%
MCB DCF Income Fund,https://sarmaaya.pk/mutual-funds/fund/1b9ecadd-57dd-4e03-a80d-ae21caba9ac2,75.56%,11.40%,16.54%
JS Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/5dfde6cd-b665-4f90-ab26-13b204eb4551,48.44%,11.81%,16.39%
UBL Special Savings Plan V,https://sarmaaya.pk/mutual-funds/fund/56146f87-09c9-4896-b49c-41dacc2adcd7,11.57%,9.05%,16.36%
Alfalah GHP Income Fund,https://sarmaaya.pk/mutual-funds/fund/cdc730e7-6272-416a-9bbd-ac299dfd53c3,13.07%,11.82%,16.28%
ABL Special Saving Fund (ABL Special Saving Plan II),https://sarmaaya.pk/mutual-funds/fund/fa1931ea-7906-4a88-9855-398e599ad23f,0.04%,0.82%,16.11%
Faysal Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/411e3ff9-b5cc-49d4-88b1-74d49ec39efb,2.45%,12.70%,16.06%
Alfalah GHP Islamic Value Fund,https://sarmaaya.pk/mutual-funds/fund/1e7ca84c-1c44-4f39-a911-edc8a9b990d5,0%,0.91%,16.03%
JS KPK Pension Fund,https://sarmaaya.pk/mutual-funds/fund/faaf9d0f-5053-48c8-9591-887fadf0bde9,16.75%,10.97%,16%
Atlas Pension Fund,https://sarmaaya.pk/mutual-funds/fund/2c7b4c74-43f5-4858-a9d8-601aef3393a9,12.45%,10.38%,15.96%
UBL Fixed Return Plan III (G),https://sarmaaya.pk/mutual-funds/fund/4a5ee67f-f9b2-443d-81ec-72573712252b,13.36%,10.58%,15.96%
JS Government Securities Fund,https://sarmaaya.pk/mutual-funds/fund/8573f0e4-607f-4393-854a-8a4382a76318,39.86%,11.74%,15.94%
Meezan GOKP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/9ed85430-ff8f-4b65-8ebc-63e10a6be33c,8.36%,9.71%,15.94%
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),https://sarmaaya.pk/mutual-funds/fund/fac8b8e2-72a1-415a-874c-c302a940d5b1,11.17%,9.49%,15.94%
HBL Financial Sector Income Fund Plan II,https://sarmaaya.pk/mutual-funds/fund/9c8531e4-c339-4ee4-85ff-4480cd8c4539,10.55%,11.39%,15.90%
Pak Qatar Monthly Income Plan,https://sarmaaya.pk/mutual-funds/fund/d425d0d0-eb73-45bb-b2cc-fc4e15aedc07,6.24%,11.61%,15.75%
ABL Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/9464798d-3ec5-4ff2-a61b-6af5c2511b0e,7.41%,12.23%,15.73%
ABL GOKP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8e4b7cec-5d0e-4f3a-bc49-4e3147f70d6f,13.21%,10.81%,15.73%
Pak Qatar Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/2dc97a3e-acce-4769-940f-33c5bfede555,4.74%,11.16%,15.73%
AL Habib Government Securities Fund,https://sarmaaya.pk/mutual-funds/fund/919028b1-f93b-42f3-bdce-7250877a0ac6,16.35%,11.44%,15.71%
HBL Income Fund,https://sarmaaya.pk/mutual-funds/fund/c1d1384a-7efb-46b2-95cb-3000c8ad4d93,29.78%,12.78%,15.63%
Faysal Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/2c38c846-b2a6-4a64-8e5c-733567a177a2,-15.73%,13.54%,15.60%
Meezan Tahaffuz Pension Fund,https://sarmaaya.pk/mutual-funds/fund/dba0fd3a-83d2-456b-911f-2313033dd7e4,5.15%,11.06%,15.56%
Alhamra Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/a5e75010-e84a-4f85-aa44-04236d00e94e,7.70%,13.97%,15.55%
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),https://sarmaaya.pk/mutual-funds/fund/2dec11ee-ab83-4627-a515-ba21f611e964,5.88%,13.59%,15.54%
AL Habib Income Fund,https://sarmaaya.pk/mutual-funds/fund/66c1689b-8475-440d-9569-d2199210cefc,17.34%,9.02%,15.53%
Faysal Islamic Savings Growth Fund,https://sarmaaya.pk/mutual-funds/fund/9bd6552f-e713-450c-9251-1f78fd4d7231,-0.26%,10.81%,15.53%
NIT Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/f33db54f-7d15-4f54-aa0a-e4090ed63570,12.74%,9.91%,15.48%
JS Microfinance Sector Fund,https://sarmaaya.pk/mutual-funds/fund/6b965130-d6fc-4d06-9836-829f9f2ee9c4,10.51%,10.51%,15.44%
NBP GoKP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/79f2ebd5-428e-4574-af74-2ac2ad5669fa,13.10%,10.58%,15.40%
AWT Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/3d165c55-73c0-48c5-a778-f00d80f9855b,10.18%,10.97%,15.40%
UBL Voluntary Pension Fund KPK,https://sarmaaya.pk/mutual-funds/fund/c8326e68-a90e-4f34-8808-177a758909ce,12.74%,10.19%,15.35%
Atlas Pension Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/374108a8-10dd-4a3e-8c6c-be3044d715af,1.64%,11.56%,15.30%
Al Ameen Islamic Sovereign Fund,https://sarmaaya.pk/mutual-funds/fund/5bc622bf-df87-413c-be05-aa52ae4905b0,4.64%,15.76%,15.30%
MCB KPK Govt Employees Pension Fund,https://sarmaaya.pk/mutual-funds/fund/73c51bd4-69f2-4959-b0a0-1a4e30beb6a5,10.55%,10.09%,15.29%
Lakson Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/30ccafb1-e070-484b-9dc9-4c355ce67507,15.26%,10.22%,15.26%
Atlas Liquid Fund,https://sarmaaya.pk/mutual-funds/fund/8e2cfcb1-fe71-43f7-b79c-f3d0739f047c,9.71%,9.76%,15.24%
NBP GoKP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/c9918e98-68a9-4a93-b997-9d2b001a528d,9.12%,10.96%,15.23%
Atlas Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/897139ff-69a5-4c4c-9b0c-f0c3a31f7a54,12.48%,9.91%,15.20%
NBP Islamic Government Securities Plan III,https://sarmaaya.pk/mutual-funds/fund/1e2c5692-014a-477c-8d2f-dbb1234fd319,10.55%,12.47%,15.19%
JS Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/a6c292ea-1911-4404-b779-d75ecbd7d29b,14.89%,9.29%,15.17%
Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),https://sarmaaya.pk/mutual-funds/fund/c49545fa-d030-45df-99eb-23df3a78fdce,29.09%,11.54%,15.16%
HBL Islamic Asset Allocation Fund Plan II,https://sarmaaya.pk/mutual-funds/fund/6cfb00c0-48af-42fc-a166-fe60af16e399,0.08%,1.84%,15.15%
MCB Cash Management Optimizer,https://sarmaaya.pk/mutual-funds/fund/4fd349ab-58af-4e76-a9aa-389f308b7a8b,34.24%,9.99%,15.15%
NBP Financial Sector Income Fund,https://sarmaaya.pk/mutual-funds/fund/4d5c9e51-b896-4294-997d-b6a4956019ba,29.46%,10.91%,15.13%
Pakistan Pension Fund,https://sarmaaya.pk/mutual-funds/fund/f52dacfe-68b0-4b4e-94b2-ae67b49d0190,10.04%,9.18%,15.12%
HBL Financial Sector Income Fund Plan I,https://sarmaaya.pk/mutual-funds/fund/d863a5f7-104f-4017-be27-230190da312e,15.88%,9.76%,15.11%
UBL Fixed Return Plan II (M),https://sarmaaya.pk/mutual-funds/fund/68607c36-1fd4-4041-bb1f-229420a67d11,11.90%,9.10%,15.11%
NBP Cash Plan II,https://sarmaaya.pk/mutual-funds/fund/969ef47c-bf41-48fd-a422-d2b92429def2,15.70%,9.67%,15.08%
ABL Financial Sector Fund Plan I,https://sarmaaya.pk/mutual-funds/fund/5dc02e11-3a81-460b-96db-757b79b82a2a,13.69%,10%,15.08%
NBP Savings Fund,https://sarmaaya.pk/mutual-funds/fund/85aa1d49-eea2-4d04-a02d-1d73688df964,13.65%,10.53%,15.07%
JS KPK Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/4e87dc0d-62b9-43b8-bf1f-135cdc3f729a,9.85%,9.79%,15.06%
Atlas Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/40f191e5-da94-46db-8a4e-bb9165fc86a3,53.55%,14.03%,15.06%
NBP Income Plan I,https://sarmaaya.pk/mutual-funds/fund/5e16ef3b-9a73-4665-b9b1-7e6b57bca98f,28.32%,10.74%,15.05%
Alfalah GHP Income Multiplier Fund,https://sarmaaya.pk/mutual-funds/fund/a2182d2d-60b7-4e10-81c6-9a718ae259e0,15.04%,11.55%,15.03%
HBL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/13b52116-1e5c-438e-8862-c91cb661f102,17.41%,9.99%,15.03%
AL Habib GOKP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/1e104377-eba8-4f78-9e00-dc4bbfeba99e,15%,8.69%,15.03%
Al Ameen Islamic Retirement Savings Fund,https://sarmaaya.pk/mutual-funds/fund/e6fe594f-a9d4-41f0-bf5d-6f5bb9fe5962,6.68%,8.64%,15.03%
NIT KP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/ce5f7c5f-65b0-4473-9662-6efb8666ea78,16.02%,9.61%,15.03%
NBP Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/53385475-2a33-4506-9045-9252540cfc23,16.06%,9.68%,15.02%
HBL Cash Fund,https://sarmaaya.pk/mutual-funds/fund/be5f623b-10d0-4dc5-bfb3-5a6914dd6688,17.70%,10.96%,15.02%
AL Habib Pension Fund,https://sarmaaya.pk/mutual-funds/fund/133edc1b-028d-45b9-a2ec-027e1ceb0002,13.69%,9.38%,15%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/2abc3ced-6551-48f5-8c29-c9c180e6f0ad,12.74%,9.60%,15%
NIT - Income Fund,https://sarmaaya.pk/mutual-funds/fund/ee61e6fa-c3ce-494e-ac4b-76e2cb4198a8,8.54%,9.83%,14.99%
NBP Government Securities Liquid Fund,https://sarmaaya.pk/mutual-funds/fund/18e6e9d9-8715-4a6d-99ca-85adada381ad,12.37%,9.43%,14.98%
Meezan Tahaffuz Pension Fund,https://sarmaaya.pk/mutual-funds/fund/a4cd7e0a-df7a-4ba7-b618-a7c88235178f,7.85%,11.61%,14.97%
ABL Cash Fund,https://sarmaaya.pk/mutual-funds/fund/9557dd30-5dfa-4b79-9bc5-f1635f1232f6,13.07%,9.83%,14.96%
Alfalah GHP Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/11920db7-1363-4bd6-bf25-d71f583be266,11.57%,9.93%,14.96%
JS Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/df38dc40-9fde-40bb-bca6-51cbeb6a6d70,13.18%,10%,14.95%
NAFA Pension Fund,https://sarmaaya.pk/mutual-funds/fund/1452e31f-65a9-43fb-aab3-0b8bb3e1494e,12.81%,10.62%,14.93%
Alfalah GHP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/b17bbc64-ff09-4937-8221-31851eb502a6,12.92%,9.39%,14.92%
JS Cash Fund,https://sarmaaya.pk/mutual-funds/fund/7d3de88a-98f8-4964-9b8e-e6e339232f34,15.15%,9.70%,14.91%
ABL Income Fund,https://sarmaaya.pk/mutual-funds/fund/e0d1bf23-1a04-458d-ad31-60abf94434c4,10.48%,11.36%,14.86%
UBL Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/625a9cf0-94b5-46b7-b7fb-ab60b774cf17,25.11%,10.02%,14.85%
UBL Liquidity Plus Fund,https://sarmaaya.pk/mutual-funds/fund/7bd22a9e-997b-42ed-adea-908446ed295e,11.97%,9.69%,14.85%
NBP Cash Plan I,https://sarmaaya.pk/mutual-funds/fund/b65d9d0a-d297-4547-be44-6f5ed2c26b81,12.67%,9.04%,14.85%
786 Smart Fund,https://sarmaaya.pk/mutual-funds/fund/1aa0884f-6999-4977-a739-6a7830a8e5be,12.05%,9.29%,14.82%
NIT Social Impact Fund,https://sarmaaya.pk/mutual-funds/fund/f9becf5a-c9a9-41f0-9b6a-d9c774b6e584,9.96%,10.11%,14.82%
ABL Money Market Plan I,https://sarmaaya.pk/mutual-funds/fund/b05df539-9fff-4857-9d11-6acf6e75d754,2.23%,8.99%,14.81%
Pakistan Cash Management Fund,https://sarmaaya.pk/mutual-funds/fund/74558215-fadd-43b0-90f1-19e88458608b,9.71%,8.80%,14.79%
NBP Mahana Amdani Fund,https://sarmaaya.pk/mutual-funds/fund/b151f109-cd94-49ff-92b4-a663a8b504a4,9.64%,9.63%,14.77%
UBL Cash Fund,https://sarmaaya.pk/mutual-funds/fund/69c22d52-84cc-4b94-85e5-29fe08abadfe,8.80%,9.80%,14.74%
AL Habib Cash Fund,https://sarmaaya.pk/mutual-funds/fund/2c6a2944-2209-4172-9204-4c61b3bfd4d3,11.72%,10.46%,14.73%
NBP Fixed Term Munafa Plan VIII,https://sarmaaya.pk/mutual-funds/fund/62cda634-6e8f-4331-a73e-d79a158a2db8,2.56%,10.66%,14.71%
Askari Sovereign Yield Enhancer,https://sarmaaya.pk/mutual-funds/fund/9abfcd93-1b2f-4346-a34c-b51887bf6717,17.74%,9.11%,14.68%
JS Income Fund,https://sarmaaya.pk/mutual-funds/fund/4265d259-2bc5-4d5f-bc49-f13969c32ced,45.48%,10.99%,14.67%
Alhamra Government Securities Plan I,https://sarmaaya.pk/mutual-funds/fund/0a3a5701-d6b7-411a-9445-20c7204efbe8,8.21%,11.57%,14.61%
Alfalah Special Savings Fund - I (Formerly: Faysal Special Savings Plan I),https://sarmaaya.pk/mutual-funds/fund/3d1300ba-0f6d-44c6-a2c2-4d61986e7777,0.38%,1.63%,14.60%
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),https://sarmaaya.pk/mutual-funds/fund/ea07f544-bd74-4126-a197-bd883e352d95,10.15%,11.14%,14.59%
Atlas KPK Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/65608f37-48ee-4b54-a256-0a8aa118ab8f,0%,11.26%,14.54%
Alfalah GHP Cash Fund,https://sarmaaya.pk/mutual-funds/fund/2602024a-9498-4898-ad61-eafc66dbe09a,9.38%,9.74%,14.54%
NIT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/b7f62df8-577f-420b-9cb0-d875d0991b1e,11.64%,9.29%,14.52%
AL Habib Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/c4952e08-f290-4b3f-ad4e-24c578558840,13.61%,9.80%,14.51%
ABL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/1e80c86d-63c1-4c13-82f2-6aeeb82fc8b3,11.39%,9.57%,14.51%
Pak Qatar Cash Plan,https://sarmaaya.pk/mutual-funds/fund/37353944-8a55-4701-877f-7b10a840e2ca,7.26%,11.18%,14.49%
Alhamra Cash Management Optimizer,https://sarmaaya.pk/mutual-funds/fund/65b8cfbc-65ae-4afd-ba36-83926c6a9350,8.83%,10.08%,14.49%
Al Ameen Islamic Retirement Savings Fund,https://sarmaaya.pk/mutual-funds/fund/f7bde694-50cf-43f9-b254-7720a2ba521d,5.55%,10.92%,14.45%
Pak Oman Micro Finance Fund,https://sarmaaya.pk/mutual-funds/fund/550d9de4-3f08-4416-8657-71331210bd5d,10.73%,9.87%,14.39%
UBL Retirement Saving Fund,https://sarmaaya.pk/mutual-funds/fund/cd98d235-4292-4e44-a6ed-096c1671951c,12.78%,9.01%,14.33%
Faysal Islamic Special Income Plan III,https://sarmaaya.pk/mutual-funds/fund/ab2a203a-6832-4228-9e1d-f4b9fb7248c8,6.57%,5.94%,14.33%
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/9929b3fe-ac83-4e72-9b39-30976da0dcaa,1.20%,-4.54%,14.32%
Atlas Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/6142c280-ada7-45cf-8a7f-32e8f4db37ba,3.54%,9.86%,14.29%
Alfalah GHP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/3d65980a-a405-4b9c-8ca1-e1f9bae290b7,11.53%,10.69%,14.29%
Faysal Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/97c814f9-3854-4ac1-9043-044381d9ac72,10.40%,8.98%,14.28%
Alfalah Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/173efcbf-4302-4513-9727-8000f31c618c,9.16%,10.27%,14.28%
AL Habib Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/68d670c9-c6dc-472e-94b8-5765068198f9,2.15%,13.42%,14.26%
NBP Islamic Daily Dividend Fund,https://sarmaaya.pk/mutual-funds/fund/790b56ef-de96-48a0-815a-d36bc35714f4,8.76%,10.08%,14.25%
HBL Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/7c7025ce-b6fa-4369-be6d-3c43f088c480,-5.47%,11.93%,14.25%
NBP Islamic Mahana Amdani Fund,https://sarmaaya.pk/mutual-funds/fund/1f240308-7ff7-4ef9-99fc-242c27a0aeb0,7.26%,9.63%,14.25%
NBP Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/a0d07db8-5e76-45bd-b205-c0bcc6866c71,8.83%,9.79%,14.23%
NIT Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/1f0596a6-3c9f-4783-9bef-e0dd1dc67e0b,9.75%,10.27%,14.21%
Faysal Islamic Special Income Plan I,https://sarmaaya.pk/mutual-funds/fund/51701abd-905f-4224-81a0-1a02f6aea799,-12.08%,13.96%,14.20%
Alfalah KPK Employee Pension Fund,https://sarmaaya.pk/mutual-funds/fund/bc7209de-db77-4d3b-b17b-8446340f11f3,20.95%,18.15%,14.20%
JS Islamic Money Market Fund (Formerly: JS Islamic Daily Dividend Fund),https://sarmaaya.pk/mutual-funds/fund/523e4d65-e1f9-4ca7-b7f9-321a4ff13fda,9.64%,10.18%,14.19%
MCB Alhamra KPK Govt Employees Pension Fund,https://sarmaaya.pk/mutual-funds/fund/375b972f-6d96-4d60-a20a-ddf0ff2582ed,9.34%,14.28%,14.19%
Askari Cash Fund,https://sarmaaya.pk/mutual-funds/fund/1b4a9812-fba7-40a5-a2a1-01213ed3f906,8.10%,9.51%,14.17%
ABL Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/a5e60f4e-689c-4844-a434-b0af693477cf,10.51%,10.64%,14.14%
Pak Qatar Khalis Bachat Plan,https://sarmaaya.pk/mutual-funds/fund/f089a46e-ddce-4f6a-9b66-36c902184fe5,1.90%,7.51%,14.14%
NAFA Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/6990e030-8a48-434f-a611-13adc29f6a94,8.54%,11.86%,14.11%
NIT Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/0e21fa03-80de-4e66-aa75-be5b04bc9e35,9.45%,10.31%,14.10%
HBL Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/38397579-4e7d-4131-bdd9-dd1c64b5dbd4,22.19%,8.85%,14.09%
Mahaana Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/ec7b94bf-78a0-4078-a7a6-3abba8987fd6,9.42%,10.30%,14.07%
Alfalah Islamic Rozana Amdani Fund,https://sarmaaya.pk/mutual-funds/fund/217a0d5a-200c-47a5-b668-34f65d4deba2,9.42%,10.26%,14.05%
HBL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/86b4daeb-4f3e-4290-8554-2f0b3b2fbc75,19.02%,9.69%,14.04%
NBP Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/4daf239b-276b-4002-ac49-0847338718bd,1.46%,10.23%,14.01%
Al Ameen Islamic Cash Plan I,https://sarmaaya.pk/mutual-funds/fund/2687c387-b33b-42b7-ad38-7b62867f35e3,9.89%,9.66%,13.99%
Al Ameen Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/3c97a97b-fb28-4395-94f5-2184470f031f,4.05%,9.70%,13.99%
AL Habib Islamic Savings Fund,https://sarmaaya.pk/mutual-funds/fund/ee5d8a4d-62b9-49a7-a7db-2249e63a38fb,5.22%,12.91%,13.98%
ABL Islamic Money Market Plan I,https://sarmaaya.pk/mutual-funds/fund/bc148449-d667-4cb2-9cd9-86d900a2e1ed,11.24%,10.96%,13.97%
Alfalah GHP Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/66a76a69-e0a6-42e6-a782-962d34542a8e,10.48%,11.62%,13.97%
Alhamra Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/11ecc179-ff6e-4e4c-8765-eed837de7953,9.20%,8.75%,13.97%
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I),https://sarmaaya.pk/mutual-funds/fund/530f1f57-2bef-4ef7-b157-f445338fe3d7,7.01%,8.88%,13.96%
NBP Riba Free Savings Fund,https://sarmaaya.pk/mutual-funds/fund/af8b0c43-5226-4654-a201-542ead3cd031,9.53%,9.75%,13.94%
Pak Qatar Daily Dividend Plan,https://sarmaaya.pk/mutual-funds/fund/8c0f265f-fe05-43f3-a2d8-3c1fd3de82e8,10.37%,7.82%,13.88%
NBP Islamic Savings Fund,https://sarmaaya.pk/mutual-funds/fund/9ba900b8-4944-44e8-ab4b-e101f235926a,10.73%,10.10%,13.85%
HBL KPK Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/a11e4ddc-6efd-42b4-ab80-3ee5fc034ec8,5.51%,6.82%,13.82%
Lakson Islamic Money Market Fund,https://sarmaaya.pk/mutual-funds/fund/9e38fb37-64e5-45eb-bfff-017058e4759d,10.04%,10.68%,13.78%
NAFA Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/1f36a6cf-e7b9-48d1-905b-984d39f8b9ca,11.13%,11.79%,13.76%
Meezan Rozana Amdani Fund,https://sarmaaya.pk/mutual-funds/fund/5385b72f-44fe-4f98-bee3-0f275a05b148,9.85%,9.28%,13.76%
Atlas Pension Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/2616c271-9cbc-4dd9-9d87-f30adb201d8b,0.77%,9.53%,13.75%
ABL Islamic Financial Planning Fund (Conservative Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/b065e664-7996-4dd6-a0dc-c8d61bb6ffff,0.03%,0.94%,13.74%
HBL KPK Pension Fund,https://sarmaaya.pk/mutual-funds/fund/017ec750-b687-4868-b255-2391f6b0385f,13.29%,8.94%,13.74%
AWT Financial Sector Income Fund,https://sarmaaya.pk/mutual-funds/fund/79435957-6c71-4b1b-af92-cd4e2e9fa1e5,7.85%,7.86%,13.71%
AL Habib Islamic Cash Fund,https://sarmaaya.pk/mutual-funds/fund/5490a49d-24d9-4dc2-8f5b-97f72bf80677,9.20%,9.75%,13.67%
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),https://sarmaaya.pk/mutual-funds/fund/e57f69dc-cb15-4b8b-9b85-ce37f6b20da1,-41.68%,15.89%,13.63%
Meezan Daily Income Fund (MDIP I),https://sarmaaya.pk/mutual-funds/fund/e60ffab4-0c95-4fb5-bacf-b042a6db44e7,9.93%,9.15%,13.54%
Meezan Cash Fund,https://sarmaaya.pk/mutual-funds/fund/a0674272-8a64-4fb8-b708-4e60a1e7f135,11.64%,9.81%,13.51%
ABL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/da920268-91cf-40e1-97df-d30ea4733ed2,5.62%,12.15%,13.50%
NIT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/79f62161-25cb-46a7-b7ac-71cbbda37fc0,27.52%,9.81%,13.41%
Alhamra Daily Dividend Fund,https://sarmaaya.pk/mutual-funds/fund/7835c6eb-5184-47b7-9c77-bf4bb572cce7,8.80%,12.32%,13.38%
HBL Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/d4a6dd42-f415-480b-8c3e-ecd1609a90d0,9.20%,11.94%,13.38%
HBL Islamic Savings Plan I,https://sarmaaya.pk/mutual-funds/fund/6eaf7ec6-0633-4003-96d9-d131951370f0,45.04%,12.41%,13.37%
Meezan Islamic Income Fund,https://sarmaaya.pk/mutual-funds/fund/b4323cd2-b729-4122-9678-7150f95c868a,9.82%,-5.33%,13.30%
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),https://sarmaaya.pk/mutual-funds/fund/3c72f89f-70f4-4e2f-b54d-f4a05df8c391,5.07%,16.51%,13.29%
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),https://sarmaaya.pk/mutual-funds/fund/fe161e1f-4585-472e-a190-39bac7d74714,8.25%,7.98%,13.25%
Faysal Halal Amdani Fund,https://sarmaaya.pk/mutual-funds/fund/67d82e82-d77d-45e0-be84-3305b605f0c5,10.37%,9.10%,13.22%
Meezan Daily Income Fund (Meezan Munafa Plan I),https://sarmaaya.pk/mutual-funds/fund/4021c591-4da4-48f5-ba76-5b7b6059298c,6.61%,10.18%,13.10%
Pak Qatar Asan Munafa Plan,https://sarmaaya.pk/mutual-funds/fund/b6a0992f-8d25-4d3a-91bc-33bdf298a8c5,1.64%,6.80%,12.99%
